pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
150,v,,,,,18,0,72,1,853.682025999995,854.6822066000313,854.6822066000313,854.6822066000313,854.6822066000313,854.6822066000313,855.6654921000008,855.6654921000008,v,1,1.3150170000153594,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
150,v,,,,,18,1,73,1,856.9988289000466,857.9988095000153,857.9988095000153,857.9988095000153,857.9988095000153,857.9988095000153,858.9987889000331,858.9987889000331,v,1,0.6064793999539688,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-150,z,,,,,18,2,74,3,859.632064800011,860.6321184000117,860.6321184000117,860.6321184000117,860.6321184000117,860.6321184000117,861.6321732000215,861.6321732000215,z,1,0.8059962000115775,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-150,z,,,,,18,3,75,3,862.4655558000086,863.4653471000493,863.4653471000493,863.4653471000493,863.4653471000493,863.4653471000493,864.4654717000085,864.4654717000085,z,1,0.7131664999760687,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
50,c,,,,,19,0,76,2,865.1987022000249,866.1988148000091,866.1988148000091,866.1988148000091,866.1988148000091,866.1988148000091,867.198926800047,867.198926800047,c,1,0.9395302000339143,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-50,x,,,,,19,1,77,0,868.1654330000165,869.1669301000074,869.1669301000074,869.1669301000074,869.1669301000074,869.1669301000074,870.1653423000243,870.1653423000243,x,1,0.7838090999866836,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-150,z,,,,,19,2,78,3,870.9653446000302,871.9652937999927,871.9652937999927,871.9652937999927,871.9652937999927,871.9652937999927,872.9655214000377,872.9655214000377,z,1,0.744476499967277,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-50,x,,,,,19,3,79,0,873.732090400008,874.7320830000099,874.7320830000099,874.7320830000099,874.7320830000099,874.7320830000099,875.71526550001,875.71526550001,x,1,0.9358259000000544,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-50,x,,,,,20,0,80,0,876.682160300028,877.682209599996,877.682209599996,877.682209599996,877.682209599996,877.682209599996,878.6820341999992,878.6820341999992,x,1,0.8411729999934323,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-150,z,,,,,20,1,81,3,879.5488620999968,880.5488345000194,880.5488345000194,880.5488345000194,880.5488345000194,880.5488345000194,881.5488599000382,881.5488599000382,z,1,0.8913848000229336,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
